EnvGroup	EnvSubgroup	CanonicalTerm	Variants	Notes
Perinatal/Early development	Developmental timing	Early postnatal period	early postnatal period; neonatal period; perinatal period	First weeks/months after birth
Perinatal/Early development	Developmental timing	First year of life	first year of life; infancy; early infancy	Exposure during first 12 months
Perinatal/Early development	Developmental timing	Early childhood	early childhood	Generic early childhood window (e.g., 0–5 years); bare "childhood" removed as too noisy
Perinatal/Early development	Perinatal stress	Maternal stress during pregnancy	maternal prenatal stress; stress during pregnancy; antenatal maternal stress; prenatal maternal stress; maternal stress in pregnancy	Stress exposure in utero
Perinatal/Early development	Perinatal complications	Perinatal complications	perinatal complications; obstetric complications; birth complications; birth trauma; perinatal adversity	Hypoxia, preeclampsia, prematurity, etc. (specific diagnoses stay as Disease)
Childhood adversity & trauma	Childhood trauma	Childhood trauma	childhood trauma; early childhood trauma; childhood abuse; childhood maltreatment; child maltreatment; early life trauma; early life adversity; early adversity	Any severe adverse childhood experience
Childhood adversity & trauma	ACE	Adverse childhood experiences	adverse childhood experience; adverse childhood experiences; adverse childhood experiences (ACEs); adverse childhood experiences (ACE)	ACE framework; bare ACE/ACEs removed (clash with angiotensin-converting enzyme)
Childhood adversity & trauma	Abuse	Childhood physical abuse	physical abuse in childhood; child physical abuse; physically abused as a child; childhood physical abuse	Specific ACE subtype
Childhood adversity & trauma	Abuse	Childhood sexual abuse	sexual abuse in childhood; child sexual abuse; sexually abused as a child; childhood sexual abuse	Specific ACE subtype (childhood only)
Childhood adversity & trauma	Abuse	Childhood emotional abuse	emotional abuse in childhood; psychological abuse in childhood; childhood emotional abuse; emotional maltreatment	Specific ACE subtype
Childhood adversity & trauma	Neglect	Childhood neglect	child neglect; childhood neglect; emotional neglect; physical neglect in childhood; childhood physical neglect	Neglect dimension of ACE
Childhood adversity & trauma	Bullying	Childhood bullying	childhood bullying; bullied at school; peer victimization; peer bullying; school bullying	Bullying as specific interpersonal trauma; bare "bullying" removed as noisy
Childhood adversity & trauma	Loss	Early parental loss	parental loss; death of a parent in childhood; parental death in childhood; early parental death; loss of a parent in childhood	Early bereavement
Adult interpersonal trauma	Sexual abuse	Adult sexual abuse	adult sexual abuse; sexual abuse in adulthood; sexually abused as an adult; sexual assault; rape; sexual violence	Adult victimization; distinct from childhood sexual abuse. Bare "sexual abuse" avoided (age-ambiguous)
Adult interpersonal trauma	Physical abuse	Adult physical abuse	adult physical abuse; physical abuse in adulthood; physically abused as an adult; physical assault	Adult physical victimization outside IPV framing
Adult interpersonal trauma	Intimate partner violence	Intimate partner violence victimization	intimate partner violence; IPV victimization; partner violence; domestic violence victimization; battered woman; battered women; abuse by intimate partner; intimate partner abuse	Adult IPV as victim; bare "IPV"/"domestic violence" avoided (age/role-ambiguous)
Attachment & family environment	Attachment style	Secure attachment	secure attachment	Adaptive reference category; bare "secure" removed
Attachment & family environment	Attachment style	Avoidant attachment	avoidant attachment; dismissing attachment; dismissive attachment	Attachment insecurity – avoidant; bare "avoidant" removed
Attachment & family environment	Attachment style	Anxious-ambivalent attachment	anxious-ambivalent attachment; anxious ambivalent attachment; anxious attachment; resistant attachment	Attachment insecurity – anxious; bare "anxious"/"ambivalent" removed
Attachment & family environment	Attachment style	Disorganised attachment	disorganised attachment; disorganized attachment	Maladaptive attachment style; bare "disorganised" removed
Attachment & family environment	Attachment relation	Attachment relationships	attachment relationships; infant-parent attachment; parent-child attachment; attachment insecurity; insecure attachment	parent-child attachment quality; bare "attachment" removed
Attachment & family environment	Object relations	Object relations	object relations; disturbed object relations; impaired object relations	Psychoanalytic construct of internalized relations
Attachment & family environment	Abandonment	Abandonment trauma	abandonment trauma; fear of abandonment; childhood abandonment	Specific interpersonal trauma
Attachment & family environment	Parenting	Negative parenting	harsh parenting; authoritarian parenting; emotionally cold parenting; inconsistent parenting; dysfunctional parenting	Dysfunctional parenting styles
Attachment & family environment	Family violence	Interparental violence	partner cruelty; partner cruelty to mother; family violence; interparental violence; witnessing domestic violence; exposure to domestic violence; parental intimate partner violence	Childhood/family exposure to violence between caregivers (not adult IPV victimization)
Social & socioeconomic factors	Socioeconomic status	Socioeconomic disadvantage	socioeconomic disadvantage; low socioeconomic status; low SES; social disadvantage; social deprivation; socioeconomic deprivation	Persistent low SES context
